"SYMBOL" "ENTREZID"
"CRABP2" "1382"
"FAM212B-AS1" "100506343"
"C1orf61" "10485"
"TAS1R2" "80834"
"FOXE3" "2301"
"MATN1-AS1" "100129196"
"PTCHD1" "139411"
"ZNF678" "339500"
"COL16A1" "1307"
"OR10R2" "343406"
"RAI2" "10742"
"OR10K2" "391107"
"PTCH2" "8643"
"SH2D1A" "4068"
"LANCL3" "347404"
"ARHGAP6" "395"
"TNFRSF14-AS1" "115110"
"HNRNPCL3" "649330"
"LOC645166" "645166"
"LINC00582" "100287814"
"MROH9" "80133"
"DACH2" "117154"
"LRIF1" "55791"
"KCND3" "3752"
"PRRG3" "79057"
"BRS3" "680"
"FCGR1A" "2209"
"CD1B" "910"
"SMARCA1" "6594"
"OR2G3" "81469"
"ALG13" "79868"
"RNF207" "388591"
"SLC2A5" "6518"
"LINC00629" "100506757"
"SERPINA7" "6906"
"HMGCS2" "3158"
"SIKE1" "80143"
"VWA5B1" "127731"
"BRINP2" "57795"
"MIR514A2" "574517"
"FAAH2" "158584"
"LINC01343" "339442"
"KIRREL1" "55243"
"GYG2P1" "352887"
"HMGB4" "127540"
"LINC01346" "728716"
"RGS7" "6000"
"NLRP3" "114548"
"C1QC" "714"
"SKINT1L" "391037"
"MEGF6" "1953"
"ZNF496" "84838"
"MIR508" "574513"
"H3F3AP4" "440926"
"OTUD6A" "139562"
"PKLR" "5313"
"TNFSF18" "8995"
"SYT2" "127833"
"PRAMEF1" "65121"
"OLFML2B" "25903"
"PRAMEF11" "440560"
"DUSP9" "1852"
"LRRC38" "126755"
"ARHGEF19" "128272"
"MIR320D2" "100302169"
"KCNQ4" "9132"
"CHD5" "26038"
"KLF8" "11279"
"GPR101" "83550"
"AMELX" "265"
"CADM3-AS1" "100131825"
"FTHL17" "53940"
"MIR135B" "442891"
"HSPA6" "3310"
"KIF21B" "23046"
"HIST2H2BA" "337875"
"CLCN4" "1183"
"ARID1A" "8289"
"LOC100130331" "100130331"
"SYN1" "6853"
"MIR651" "723779"
"ENSA" "2029"
"ATXN3L" "92552"
"MACF1" "23499"
"IGSF8" "93185"
"OR2T5" "401993"
"GPR137B" "7107"
"MUM1L1" "139221"
"SSU72" "29101"
"LOC100505795" "100505795"
"MAP3K21" "84451"
"LDLRAD2" "401944"
"MAP10" "54627"
"OR2T33" "391195"
"SELL" "6402"
"RTL5" "340526"
"FMR1NB" "158521"
"TSPY2" "64591"
"AIFM1" "9131"
"TMEM240" "339453"
"KIAA1614" "57710"
"EFNA3" "1944"
"ESX1" "80712"
"SLC45A1" "50651"
"TTC22" "55001"
"PAGE4" "9506"
"KPRP" "448834"
"GJC2" "57165"
"CD5L" "922"
"TNFRSF8" "943"
"CD1E" "913"
"SPRR2F" "6705"
"PADI4" "23569"
"IBA57" "200205"
"TSPAN1" "10103"
"ARSF" "416"
"MIR4255" "100422898"
"TNMD" "64102"
"MIR891B" "100126304"
"BCORL1" "63035"
"RPS7P5" "645884"
"RAP1A" "5906"
"PIN4" "5303"
"PRKCZ" "5590"
"S100A9" "6280"
"MIR891A" "100126341"
"C8B" "732"
"RNF220" "55182"
"SMYD3" "64754"
"C1orf68" "100129271"
"LINC01364" "100505768"
"LCE6A" "448835"
"RGS4" "5999"
"JUN" "3725"
"FCRL2" "79368"
"CT83" "203413"
"CNIH3" "149111"
"GSPT2" "23708"
"KIAA0040" "9674"
"LCE1B" "353132"
"TEX13B" "56156"
"LINC00466" "199899"
"ACTL8" "81569"
"TSC22D3" "1831"
"DUSP27" "92235"
"CCDC185" "164127"
"PLS3" "5358"
"APCS" "325"
"MARC1" "64757"
"XIST" "7503"
"DPH5" "51611"
"CLCC1" "23155"
"OR2W5" "441932"
"CYP4A22" "284541"
"MBTPS2" "51360"
"SLC6A17" "388662"
"KCTD3" "51133"
"RTL4" "340595"
"TDRKH" "11022"
"OR6K3" "391114"
"C1orf229" "388759"
"FAM9A" "171482"
"HES3" "390992"
"SPRR2B" "6701"
"TADA1" "117143"
"LMX1A" "4009"
"FTSJ1" "24140"
"FAM155B" "27112"
"ALAS2" "212"
"SPRR2C" "6702"
"SPANXN3" "139067"
"GABRQ" "55879"
"ZIC3" "7547"
"NRK" "203447"
"LRRC8D" "55144"
"OR14A16" "284532"
"PUDP" "8226"
"FOXR2" "139628"
"C1QB" "713"
"MYOG" "4656"
"PTPRU" "10076"
"CD34" "947"
"MIR4684" "100616391"
"C1orf216" "127703"
"SF3A3" "10946"
"CITED4" "163732"
"OR13G1" "441933"
"SPRR2G" "6706"
"NFASC" "23114"
"SPSB1" "80176"
"CSTF2" "1478"
"OR2T3" "343173"
"GPR173" "54328"
"NHSL2" "340527"
"KCNK2" "3776"
"AZIN2" "113451"
"GPR88" "54112"
"TMEM255A" "55026"
"MIR676" "100500887"
"TGFBR3" "7049"
"SHCBP1L" "81626"
"PCDH11X" "27328"
"EFNB1" "1947"
"SPATA21" "374955"
"PGLYRP4" "57115"
"MIR4422" "100616272"
"VSIG4" "11326"
"CXorf21" "80231"
"SPRR2D" "6703"
"PGLYRP3" "114771"
"ZNF275" "10838"
"UTP11" "51118"
"UBXN10" "127733"
"SHROOM2" "357"
"GALNT2" "2590"
"LOR" "4014"
"C1orf194" "127003"
"DISP3" "57540"
"FAM89A" "375061"
"RLIM" "51132"
"MAB21L3" "126868"
"EDA" "1896"
"MXRA8" "54587"
"VAMP3" "9341"
"CRP" "1401"
"CNKSR2" "22866"
"DGKK" "139189"
"DFFB" "1677"
"SLC44A3" "126969"
"GOLT1A" "127845"
"RHOC" "389"
"MIR4671" "100616380"
"OR10K1" "391109"
"LRRN2" "10446"
"CTTNBP2NL" "55917"
"FAM3A" "60343"
"MIR892B" "100126307"
"SYDE2" "84144"
"DCAF12L2" "340578"
"XPNPEP2" "7512"
"PRAMEF4" "400735"
"FCGR1CP" "100132417"
"LINC01132" "100506810"
"TSTD1" "100131187"
"PLA2G2C" "391013"
"RIMS3" "9783"
"PCDH19" "57526"
"SOAT1" "6646"
"FAM226B" "653687"
"TMEM63A" "9725"
"MIR34A" "407040"
"CT55" "54967"
"ERICH3" "127254"
"HMGN2" "3151"
"SELP" "6403"
"SYP" "6855"
"LOC100130417" "100130417"
"GFI1" "2672"
"PNMA3" "29944"
"VASH2" "79805"
"OR2T11" "127077"
"PRMT6" "55170"
"TDRD10" "126668"
"TMSB15B" "286527"
"RPF1" "80135"
"LINC01347" "731275"
"MORF4L2" "9643"
"PAPPA2" "60676"
"SSX1" "6756"
"ARHGEF16" "27237"
"FGF16" "8823"
"OR2L1P" "26247"
"MFAP2" "4237"
"AMPD1" "270"
"ESPNP" "284729"
"LHX4" "89884"
"CD247" "919"
"LCE5A" "254910"
"FBXO44" "93611"
"STX12" "23673"
"GAGE4" "2576"
"SPRR1A" "6698"
"MIR557" "693142"
"NAP1L3" "4675"
"TGFB2-AS1" "728463"
"EVA1B" "55194"
"GLUL" "2752"
"PADI1" "29943"
"ABCA4" "24"
"FBXO2" "26232"
"LAMC1" "3915"
"PTPRF" "5792"
"CSMD2" "114784"
"PRDX1" "5052"
"H2BFWT" "158983"
"GSTM5" "2949"
"NFIA" "4774"
"ACOT11" "26027"
"UBE2DNL" "100131816"
"LCE2B" "26239"
"IVL" "3713"
"DRP2" "1821"
"EPHA8" "2046"
"ZNF644" "84146"
"TMEM51" "55092"
"OR2L2" "26246"
"SHISAL2A" "348378"
"SPANXN4" "441525"
"OR2B11" "127623"
"KCNA10" "3744"
"MIR4253" "100422914"
"MSN" "4478"
"HES2" "54626"
"IGSF21" "84966"
"EPHB2" "2048"
"B3GALNT2" "148789"
"CYSLTR1" "10800"
"MIR421" "693122"
"PAGE2" "203569"
